new_dependency
"[[2, 1], [4, 3], [2, 4]]"
"[[2, 1], [4, 3], [2, 4]]"
"[[2, 1], [4, 3], [2, 4]]"
"[[3, 1], [3, 2], [3, 4]]"
"[[4, 1], [4, 2], [4, 3], [8, 6], [8, 7], [4, 8], [10, 9], [8, 10], [12, 11], [10, 12]]"
"[[2, 1], [5, 2], [5, 3], [5, 4]]"
"[[4, 1], [4, 2], [2, 3]]"
"[[2, 1], [4, 2], [4, 3], [4, 5], [13, 7], [13, 8], [11, 9], [8, 11], [13, 12], [4, 13]]"
"[[2, 1], [2, 3], [2, 4], [2, 5]]"
"[[3, 1], [3, 2], [3, 4], [4, 5], [3, 6]]"
"[[2, 1], [2, 3], [2, 4]]"
"[[3, 1], [3, 2], [5, 3], [5, 4]]"
"[[2, 1], [2, 3], [2, 4]]"
[]
"[[2, 1], [4, 3], [2, 4]]"
"[[3, 1], [3, 2], [5, 4], [6, 5], [3, 6]]"
"[[2, 1], [4, 3], [2, 4]]"
"[[9, 1], [3, 2], [9, 3], [3, 4], [6, 5], [7, 6], [4, 7], [11, 10], [9, 11], [11, 12]]"
[]
"[[3, 1], [3, 2], [5, 4], [3, 5], [3, 6]]"
"[[2, 1], [2, 3]]"
"[[2, 1], [2, 3]]"
"[[2, 1], [2, 3]]"
"[[3, 1], [3, 2], [3, 4], [3, 5]]"
"[[3, 1], [3, 2], [5, 4], [3, 5]]"
"[[2, 1], [4, 3], [2, 4], [8, 6], [8, 7], [2, 8], [8, 9], [8, 10], [8, 11]]"
"[[3, 1], [3, 2], [5, 4], [3, 5]]"
"[[2, 1]]"
"[[2, 1], [2, 3]]"
"[[6, 1], [3, 2], [6, 3], [6, 4], [6, 5]]"
"[[2, 1], [2, 3]]"
"[[3, 1], [3, 2]]"
"[[2, 1], [2, 3]]"
"[[5, 1], [5, 2], [2, 3], [5, 4], [9, 7], [9, 8], [5, 9]]"
"[[3, 1], [3, 2], [3, 4]]"
"[[6, 1], [6, 2], [5, 3], [5, 4], [2, 5]]"
"[[2, 1], [2, 3]]"
"[[2, 1], [5, 3], [2, 5]]"
"[[2, 1], [2, 3], [2, 5]]"
"[[2, 1]]"
"[[8, 1], [6, 3], [6, 5], [8, 6], [8, 7], [12, 10], [13, 12], [8, 13], [15, 14], [21, 15], [15, 16], [18, 17], [21, 18], [21, 19], [13, 20], [13, 21]]"
"[[3, 1], [4, 3], [6, 5], [4, 6], [8, 7], [9, 8], [6, 9], [9, 10], [12, 11], [9, 12], [6, 13], [22, 15], [22, 16], [22, 17], [22, 18], [22, 19], [22, 20], [22, 21], [4, 22], [22, 23], [26, 25], [4, 26], [28, 27], [26, 28], [28, 29], [31, 30], [32, 31], [29, 32]]"
"[[4, 1], [4, 3], [6, 5], [8, 6], [10, 8], [10, 9], [4, 10], [13, 11], [10, 13], [10, 14], [17, 16], [1, 17], [19, 18], [17, 19], [19, 20], [23, 21], [23, 22], [25, 23], [19, 25], [19, 26], [19, 27]]"
"[[7, 1], [7, 2], [7, 3], [7, 4], [7, 5], [11, 9], [11, 10], [7, 11], [15, 12], [15, 13], [15, 14], [11, 15], [17, 16], [15, 17], [15, 18], [7, 20], [22, 21], [26, 22], [25, 24], [26, 25], [31, 26], [31, 27], [31, 28], [30, 29], [31, 30], [20, 31], [31, 32]]"
